gen,key
1,61.69
2,59.968
3,59.42
4,60.662
5,59.239
6,58.172
7,57.454
8,59.405
9,57.854
10,58.157
11,58.441
12,58.179
13,57.355
14,58.698
15,56.892
16,57.996
17,56.444
18,57.872
19,57.112
20,57.6
21,57.763
22,57.992
23,57.986
24,58.246
25,57.655
26,57.533
27,58.005
28,57.842
29,57.902
30,57.756
31,57.910
32,57.605
33,57.986
34,57.95
35,57.808
36,58.244
37,58.072
38,57.315
39,57.562
40,57.754
41,57.908
42,57.679
43,58.077
44,56.678
45,57.678
46,56.871
47,57.528
48,57.418
49,56.180
50,55.997
51,55.407
