gen,key
1,62.878
2,58.905
3,61.3
4,59.592
5,58.414
6,58.422
7,56.808
8,57.376
9,58.294
10,57.819
11,58.322
12,57.876
13,57.594
14,58.267
15,57.393
16,58.294
17,57.826
18,57.759
19,58.006
20,57.124
21,58.17
22,57.824
23,57.538
24,58.116
25,58.072
26,57.996
27,57.648
28,57.880
29,57.955
30,58.045
31,57.882
32,57.774
33,57.376
34,57.02
35,57.541
36,56.736
37,57.982
38,57.684
39,57.85
40,57.226
41,57.726
42,58.128
43,57.916
44,57.815
45,57.61
46,58.06
47,57.564
48,57.784
49,58.021
50,57.778
51,57.19
