gen,key
1,62.952
2,61.176
3,62.634
4,61.342
5,58.902
6,55.678
7,58.082
8,56.338
9,55.858
10,55.422
11,55.898
12,55.956
13,56.016
14,56.164
15,55.368
16,56.216
17,56.178
18,55.9
19,56.04
20,55.738
21,56.05
22,56.05
23,55.944
24,56.089
25,55.553
26,56.084
27,55.985
28,55.736
29,55.720
30,56.279
31,56.246
32,56.076
33,55.772
34,55.994
35,56.548
36,56.191
37,55.847
38,55.622
39,55.7
40,56.242
41,56.192
42,55.314
43,55.720
44,56.065
45,55.870
46,55.65
47,55.692
48,56.122
49,55.910
50,55.719
51,55.980
