gen,key
1,61.462
2,62.842
3,62.386
4,61.658
5,61.95
6,62.024
7,62.214
8,61.058
9,60.77
10,59.291
11,60.760
12,59.505
13,59.995
14,59.2
15,58.068
16,56.724
17,57.831
18,56.712
19,57.118
20,56.852
21,56.536
22,56.403
23,56.822
24,56.574
25,56.775
26,56.258
27,56.589
28,56.694
29,56.4
30,57.041
31,56.29
32,56.477
33,56.55
34,56.27
35,55.585
36,56.032
37,56.414
38,56.282
39,55.780
40,56.202
41,55.754
42,56.314
43,56.412
44,55.89
45,55.976
46,55.964
47,55.826
48,55.992
49,56.084
50,56.214
51,56.044
