gen,key
1,63.154
2,62.279
3,61.881
4,62.455
5,59.862
6,57.878
7,59.95
8,61.078
9,60.0
10,60.544
11,56.869
12,58.417
13,58.58
14,58.438
15,58.839
16,60.152
17,58.771
18,59.624
19,59.386
20,57.402
21,59.100
22,58.130
23,60.339
24,58.54
25,57.698
26,59.190
27,58.876
28,58.952
29,56.712
30,58.868
31,57.392
32,58.343
33,55.878
34,58.318
35,58.346
36,58.442
37,58.589
38,57.324
39,58.3
40,57.658
41,58.492
42,58.11
43,56.686
44,57.516
45,57.941
46,57.35
47,58.126
48,57.926
49,57.691
50,57.86
51,57.476
