gen,key
1,63.038
2,62.214
3,61.612
4,58.332
5,58.582
6,58.708
7,58.179
8,58.407
9,58.174
10,57.836
11,58.013
12,57.942
13,57.484
14,57.417
15,57.882
16,58.215
17,58.054
18,57.653
19,57.532
20,57.924
21,57.757
22,58.295
23,57.552
24,58.166
25,57.902
26,57.754
27,57.668
28,57.79
29,57.569
30,57.536
31,57.455
32,57.844
33,57.718
34,56.772
35,57.779
36,57.284
37,57.586
38,57.862
39,57.922
40,57.54
41,57.126
42,57.624
43,58.262
44,57.583
45,57.996
46,57.982
47,57.698
48,58.021
49,58.056
50,57.903
51,58.410
