gen,key
1,62.48
2,59.02
3,61.219
4,61.089
5,59.303
6,57.230
7,57.746
8,56.896
9,57.012
10,56.402
11,56.748
12,56.506
13,56.634
14,56.098
15,57.016
16,56.552
17,56.45
18,56.683
19,56.629
20,56.510
21,56.586
22,56.35
23,56.839
24,56.574
25,56.320
26,56.384
27,56.2
28,55.581
29,56.093
30,56.522
31,55.9
32,56.046
33,55.984
34,56.436
35,56.182
36,56.186
37,56.172
38,56.322
39,56.345
40,56.053
41,56.343
42,55.98
43,55.806
44,56.620
45,55.775
46,55.931
47,56.011
48,56.330
49,56.105
50,55.806
51,56.407
