gen,key
1,62.674
2,61.452
3,61.669
4,59.436
5,59.122
6,59.062
7,58.446
8,58.324
9,58.157
10,58.065
11,57.955
12,57.312
13,58.131
14,57.46
15,58.120
16,57.702
17,57.977
18,57.964
19,57.564
20,57.869
21,57.756
22,58.008
23,57.727
24,57.336
25,57.769
26,56.5
27,57.472
28,58.152
29,57.465
30,57.354
31,57.186
32,57.845
33,57.844
34,57.108
35,57.468
36,56.322
37,57.740
38,57.778
39,57.538
40,57.720
41,57.392
42,57.986
43,57.554
44,57.763
45,57.778
46,57.935
47,57.824
48,57.138
49,57.763
50,57.757
51,56.953
