gen,key
1,62.974
2,62.622
3,61.11
4,60.065
5,60.036
6,60.001
7,59.565
8,59.088
9,59.396
10,59.684
11,59.129
12,59.802
13,59.617
14,59.412
15,59.008
16,59.48
17,58.968
18,59.044
19,59.1
20,59.052
21,59.246
22,57.964
23,58.298
24,58.488
25,59.260
26,58.379
27,58.326
28,58.517
29,58.360
30,57.926
31,57.892
32,57.924
33,57.614
34,58.364
35,58.380
36,58.019
37,57.652
38,57.926
39,57.478
40,57.714
41,57.86
42,57.624
43,57.814
44,57.367
45,57.816
46,57.840
47,57.870
48,58.012
49,57.594
50,57.96
51,57.827
