gen,key
1,62.577
2,62.733
3,59.940
4,61.819
5,58.9
6,59.315
7,56.724
8,58.236
9,57.703
10,56.254
11,57.570
12,56.448
13,56.288
14,55.981
15,56.2
16,55.977
17,56.136
18,56.218
19,55.912
20,56.036
21,56.122
22,55.962
23,56.348
24,56.058
25,56.392
26,56.024
27,56.021
28,56.025
29,55.933
30,56.152
31,55.666
32,55.931
33,56.267
34,55.048
35,55.824
36,56.498
37,56.410
38,55.818
39,55.916
40,56.274
41,55.826
42,56.357
43,56.010
44,55.838
45,56.316
46,55.75
47,55.79
48,56.04
49,55.989
50,55.826
51,55.686
