gen,key
1,61.876
2,59.807
3,60.929
4,59.489
5,59.976
6,58.610
7,59.242
8,58.178
9,57.054
10,56.498
11,56.367
12,56.278
13,56.570
14,55.928
15,56.116
16,56.239
17,56.032
18,56.040
19,55.990
20,56.15
21,55.763
22,56.133
23,55.912
24,55.629
25,55.869
26,56.242
27,56.393
28,55.929
29,55.95
30,56.191
31,55.756
32,56.009
33,55.614
34,55.548
35,55.453
36,55.780
37,55.908
38,55.803
39,55.836
40,56.06
41,55.914
42,56.155
43,55.856
44,56.154
45,56.1
46,56.11
47,55.838
48,56.303
49,55.858
50,56.362
51,55.990
