gen,key
1,62.327
2,62.513
3,60.884
4,60.326
5,61.910
6,59.216
7,61.339
8,60.811
9,59.315
10,59.429
11,57.769
12,58.634
13,58.272
14,56.582
15,56.45
16,56.289
17,56.286
18,55.855
19,55.782
20,55.275
21,56.272
22,55.862
23,56.072
24,56.426
25,55.878
26,56.25
27,56.052
28,55.856
29,55.903
30,56.372
31,55.989
32,55.938
33,55.906
34,56.05
35,55.803
36,55.757
37,55.96
38,55.852
39,56.202
40,56.243
41,56.138
42,55.884
43,55.631
44,56.398
45,55.977
46,56.4
47,56.152
48,56.158
49,56.126
50,56.048
51,55.813
