gen,key
1,63.23
2,59.453
3,58.870
4,58.275
5,59.065
6,57.596
7,58.188
8,57.884
9,58.421
10,57.787
11,58.15
12,58.025
13,57.838
14,58.172
15,57.974
16,57.498
17,58.327
18,58.285
19,58.056
20,58.187
21,57.946
22,57.94
23,57.780
24,58.17
25,57.883
26,57.802
27,56.419
28,57.870
29,57.764
30,58.128
31,58.164
32,57.796
33,58.166
34,57.498
35,57.724
36,58.076
37,57.688
38,57.958
39,57.616
40,58.0
41,57.484
42,57.31
43,57.58
44,57.905
45,58.068
46,57.733
47,57.815
48,57.104
49,57.820
50,57.921
51,57.932
