gen,key
1,62.812
2,61.903
3,61.695
4,61.584
5,60.352
6,59.580
7,57.844
8,58.998
9,59.92
10,57.366
11,57.888
12,56.496
13,56.494
14,56.496
15,56.041
16,55.736
17,55.355
18,55.803
19,55.857
20,55.884
21,56.001
22,56.129
23,56.134
24,55.812
25,56.114
26,55.720
27,56.342
28,55.782
29,55.922
30,56.17
31,55.75
32,55.716
33,56.081
34,55.942
35,56.084
36,56.252
37,56.438
38,56.167
39,56.418
40,56.214
41,56.393
42,55.86
43,56.122
44,55.812
45,55.993
46,55.77
47,55.738
48,56.081
49,55.654
50,56.160
51,55.980
