gen,key
1,62.318
2,61.854
3,62.31
4,61.324
5,61.19
6,60.662
7,60.83
8,59.324
9,58.881
10,58.588
11,57.581
12,57.205
13,57.846
14,57.466
15,57.738
16,57.022
17,57.75
18,56.8
19,56.746
20,58.194
21,57.432
22,56.989
23,57.96
24,57.967
25,57.748
26,57.848
27,57.251
28,57.984
29,57.714
30,58.074
31,57.553
32,58.126
33,57.634
34,57.7
35,58.195
36,57.8
37,58.129
38,57.521
39,57.565
40,57.602
41,57.975
42,57.619
43,57.71
44,57.803
45,57.496
46,57.768
47,58.028
48,57.698
49,57.876
50,57.548
51,57.468
