gen,key
1,62.787
2,62.662
3,61.464
4,62.251
5,61.907
6,61.748
7,60.905
8,62.065
9,59.068
10,59.396
11,59.022
12,58.248
13,57.75
14,58.246
15,58.326
16,57.652
17,57.754
18,57.077
19,57.775
20,58.186
21,57.754
22,58.124
23,57.694
24,57.931
25,57.29
26,57.364
27,57.807
28,57.622
29,57.842
30,57.95
31,57.839
32,57.652
33,57.893
34,57.126
35,57.263
36,57.645
37,57.628
38,57.606
39,57.674
40,57.1
41,57.134
42,57.814
43,58.074
44,57.856
45,57.034
46,57.509
47,57.518
48,57.842
49,57.767
50,57.779
51,57.408
