gen,key
1,62.128
2,59.234
3,59.068
4,57.879
5,56.708
6,57.19
7,56.476
8,56.635
9,56.21
10,55.712
11,55.881
12,56.330
13,56.082
14,56.467
15,55.868
16,56.007
17,55.726
18,56.302
19,55.869
20,56.169
21,55.358
22,56.019
23,56.096
24,55.934
25,56.660
26,56.274
27,56.203
28,56.570
29,55.938
30,55.847
31,56.302
32,56.477
33,55.994
34,56.004
35,55.928
36,56.069
37,56.138
38,55.739
39,55.844
40,55.490
41,56.204
42,56.072
43,56.06
44,55.934
45,55.370
46,56.274
47,56.381
48,55.714
49,56.025
50,55.854
51,56.052
