gen,key
1,61.691
2,62.114
3,61.818
4,60.348
5,58.598
6,58.482
7,58.546
8,58.464
9,58.06
10,57.734
11,57.827
12,57.888
13,57.65
14,58.25
15,57.922
16,57.992
17,57.418
18,57.706
19,57.929
20,57.294
21,57.167
22,56.684
23,57.618
24,56.622
25,56.498
26,56.967
27,56.04
28,55.95
29,55.957
30,56.074
31,55.424
32,56.057
33,56.086
34,55.794
35,56.088
36,56.326
37,55.884
38,56.126
39,56.302
40,56.242
41,56.207
42,56.155
43,56.254
44,56.072
45,55.972
46,55.71
47,56.23
48,55.970
49,55.766
50,55.916
51,56.370
