gen,key
1,61.552
2,60.013
3,60.124
4,59.944
5,57.624
6,57.902
7,56.602
8,57.4
9,56.852
10,56.568
11,56.630
12,55.903
13,55.814
14,55.992
15,56.131
16,55.720
17,55.910
18,55.836
19,56.260
20,56.17
21,56.183
22,56.396
23,55.508
24,56.403
25,56.016
26,55.791
27,55.641
28,55.993
29,56.418
30,56.105
31,56.122
32,56.012
33,56.347
34,55.577
35,56.294
36,56.109
37,56.128
38,56.222
39,55.857
40,55.864
41,56.065
42,56.052
43,56.2
44,56.024
45,55.992
46,56.254
47,55.912
48,55.442
49,55.992
50,56.324
51,56.001
